ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
4.899999999999999911e-01,-2.398625858388518051e+00,9.086596587923537527e+00,-1.946544097002972373e+00,8.673071572754372127e+00,-6.491289445894530274e+00,3.833314375698466847e+01
5.000000000000000000e-01,-2.495706410324791236e+00,9.265866517808030167e+00,-3.182613749206905762e+00,9.580919576057608467e+00,-2.001182443796624000e+01,1.511577819601112793e+01
5.100000000000000089e-01,-2.594662343937683691e+00,9.444766926407144325e+00,-1.959999747047150853e+00,1.036688935017759050e+01,7.785981353874534605e+00,2.358637457635052925e+01
5.200000000000000178e-01,-2.695489752616375689e+00,9.623290751039075275e+00,-2.227755895418612742e+00,1.064696863294591722e+01,-5.529141086988061282e+00,2.774029496372444470e+01
5.300000000000000266e-01,-2.798184655867416826e+00,9.801430943888906455e+00,-1.328602353973905359e+00,1.092098696366949184e+01,-8.941440132092091986e+00,2.376699365663576202e+01
5.400000000000000355e-01,-2.902742999471868313e+00,9.979180472286849124e+00,-2.993323543278705756e+00,1.044257299591473931e+01,-1.459506019518386566e+01,2.613848680631100052e+01
5.500000000000000444e-01,-3.009160655645357618e+00,1.015653231898587983e+01,-4.215516224025193992e+00,1.086230368828652892e+01,-5.459785877967149759e+00,2.829120819448498736e+01
5.600000000000000533e-01,-3.117433423201035225e+00,1.033347948243876502e+01,-3.190668776889529212e+00,9.948044827072179075e+00,-7.125483924215870957e+00,2.152400763894116409e+01
5.700000000000000622e-01,-3.227557027715430404e+00,1.051001497707447285e+01,-1.116229779782438758e+00,1.027339095670760827e+01,-1.320317056061202088e+01,1.995086858560083698e+01
5.799999999999999600e-01,-3.339527121697198897e+00,1.068613183357395435e+01,-1.755162373339436144e+00,9.676145239801254405e+00,-1.845243726002586371e+01,8.479358613350779450e+00
5.899999999999999689e-01,-3.453339284758753625e+00,1.086182309914527266e+01,-2.791550580729212694e+00,1.123067787823870312e+01,-5.169417103807909974e+00,3.351533499569898567e+01
5.999999999999999778e-01,-3.568989023790774873e+00,1.103708183779809637e+01,-5.151305909832577079e+00,9.861465499399194812e+00,-1.823664981507095106e+01,1.453976124264253400e+01
6.099999999999999867e-01,-3.686471773139589736e+00,1.121190113061751426e+01,-2.916187082760378413e+00,9.385511073349730893e+00,-2.695368377181492292e+01,2.105185772136339040e+01
6.199999999999999956e-01,-3.805782894787416382e+00,1.138627407603718389e+01,-2.822602264825224694e+00,1.152409743648712848e+01,-1.456919060540332822e+00,1.088980772934729480e+01
6.300000000000000044e-01,-3.926917678535465583e+00,1.156019379011179460e+01,-2.764648640363854160e+00,1.311032992497817418e+01,-4.511864985891058666e-01,1.487988642417582597e+01
6.400000000000000133e-01,-4.049871342189891088e+00,1.173365340678883406e+01,-4.720688919934131533e+00,1.223286591859610972e+01,-1.159955071456678333e+01,1.505681555902406998e+01
6.500000000000000222e-01,-4.174639031750581708e+00,1.190664607817964438e+01,-3.718087953880631513e+00,1.180165247753107671e+01,3.167090060562770759e+00,2.509490090333973811e+01
6.600000000000000311e-01,-4.301215821602791145e+00,1.207916497482977114e+01,-4.717545647586131707e+00,1.141201075773482287e+01,-1.311504160943177588e+01,2.227361270763331547e+01
6.700000000000000400e-01,-4.429596714711589556e+00,1.225120328598857355e+01,-4.390500045540148832e+00,1.144127823763327712e+01,-3.579447555574294171e+00,2.161285372325757592e+01
6.800000000000000488e-01,-4.559776642819139525e+00,1.242275421987810446e+01,-5.267480467190341464e+00,1.261737199724584535e+01,-8.866888241674182325e+00,2.083709813317838666e+01
6.900000000000000577e-01,-4.691750466644784012e+00,1.259381100396123720e+01,-4.261614299125060512e+00,1.317907107285827273e+01,-1.304902413907529102e+01,1.099024871577235274e+01
